1,-127.00,79.00,29.30,84.74,35.35,91.64,
2,-117.00,78.00,28.30,83.74,36.35,92.64,
2,-128.00,77.00,29.30,82.74,37.35,94.64,
2,-125.00,76.00,25.30,85.74,35.35,96.64,
2,-117.00,71.00,27.30,81.74,37.35,97.64,
1,-115.00,72.00,28.30,82.74,34.35,98.64,
1,-121.00,75.00,28.30,83.74,33.35,96.64,
2,-111.00,74.00,24.30,86.74,35.35,93.64,
2,-117.00,78.00,25.30,84.74,36.35,93.64,
1,-115.00,79.00,29.30,85.74,32.35,94.64,
1,-121.00,80.00,27.30,83.74,31.35,91.64,
2,-128.00,77.00,29.30,82.74,37.35,94.64,
2,-125.00,76.00,25.30,85.74,35.35,96.64,
2,-117.00,71.00,27.30,81.74,37.35,97.64,
1,-127.00,79.00,29.30,84.74,35.35,91.64,
2,-117.00,78.00,28.30,83.74,36.35,92.64,
1,-115.00,72.00,28.30,82.74,34.35,98.64,
1,-121.00,75.00,28.30,83.74,33.35,96.64,
2,-111.00,74.00,24.30,86.74,35.35,93.64,
2,-117.00,78.00,25.30,84.74,36.35,93.64,
2,-125.00,76.00,25.30,85.74,35.35,96.64,
2,-117.00,71.00,27.30,81.74,37.35,97.64,
1,-127.00,79.00,29.30,84.74,35.35,91.64,

